node_id,account_age_days,in_degree,out_degree,label
0,1613,70,84,0
1,635,54,55,0
2,1510,7,8,0
3,738,85,71,0
4,1300,186,189,0
5,469,112,126,0
6,365,171,151,0
7,1665,132,115,0
8,787,67,58,0
9,640,49,49,0
10,1029,55,53,0
11,1951,19,27,0
12,1394,71,77,0
13,563,28,24,0
14,1175,38,35,0
15,1751,34,28,0
16,194,48,55,0
17,176,8,13,0
18,576,40,41,0
19,1077,34,25,0
20,232,26,27,0
21,1172,26,17,0
22,91,64,62,0
23,1767,35,30,0
24,574,4,6,0
25,1335,59,52,0
26,471,38,38,0
27,1306,16,31,0
28,709,16,18,0
29,1722,24,29,0
30,1274,37,36,0
31,1299,21,25,0
32,1069,21,18,0
33,1364,49,30,0
34,186,73,58,0
35,1109,13,13,0
36,946,17,16,0
37,1295,21,17,0
38,745,20,23,0
39,365,13,14,0
40,462,9,5,0
41,98,29,23,0
42,1256,19,23,0
43,270,25,22,0
44,1500,9,17,0
45,1025,30,39,0
46,1512,26,25,0
47,439,38,33,0
48,1340,22,18,0
49,312,14,23,0
50,1265,21,21,0
51,402,22,32,0
52,546,10,6,0
53,693,18,14,0
54,1890,17,21,0
55,849,13,18,0
56,104,69,57,0
57,1732,4,5,0
58,1409,23,24,0
59,521,12,19,0
60,1473,10,22,0
61,522,43,14,1
62,1179,9,15,0
63,1670,3,4,0
64,1145,29,20,0
65,53,16,15,0
66,1096,13,16,0
67,1518,9,10,0
68,1853,16,7,0
69,1251,26,19,0
70,1022,29,27,0
71,1600,31,29,0
72,1218,9,10,0
73,754,19,23,0
74,469,20,25,0
75,410,11,14,0
76,1489,24,24,0
77,1041,32,30,0
78,465,22,20,0
79,1965,17,21,0
80,1924,13,21,0
81,387,43,42,0
82,380,9,4,0
83,131,9,9,0
84,522,22,24,0
85,127,21,15,0
86,1996,16,11,0
87,517,5,7,0
88,1847,9,9,0
89,1220,14,13,0
90,162,4,7,0
91,610,26,25,0
92,580,13,14,0
93,822,12,15,0
94,272,22,21,0
95,1609,34,33,0
96,1463,16,12,0
97,1631,18,29,0
98,543,28,22,0
99,322,27,22,0
100,1472,19,9,0
101,1811,42,7,1
102,158,28,28,0
103,1299,19,20,0
104,1431,15,12,0
105,1009,16,15,0
106,811,14,18,0
107,638,14,11,0
108,474,16,30,0
109,250,6,0,0
110,349,19,21,0
111,1566,9,11,0
112,853,10,6,0
113,1143,57,39,1
114,576,8,11,0
115,708,24,27,0
116,253,24,20,0
117,490,35,37,0
118,469,13,15,0
119,114,30,6,1
120,1416,22,16,0
121,394,9,14,0
122,1463,23,35,0
123,1729,7,10,0
124,417,2,7,0
125,1459,12,12,0
126,1473,8,15,0
127,1101,6,12,0
128,750,12,16,0
129,1099,14,12,0
130,1151,12,11,0
131,1470,26,14,0
132,1882,8,17,0
133,923,5,8,0
134,76,27,17,0
135,1974,12,7,0
136,1922,15,26,0
137,1513,15,18,0
138,916,23,15,0
139,527,23,12,0
140,1828,6,8,0
141,697,5,14,0
142,530,8,9,0
143,1437,2,7,0
144,545,10,6,0
145,197,7,8,0
146,1401,4,6,0
147,1345,13,10,0
148,1851,4,10,0
149,1075,13,26,0
150,940,20,20,0
151,1026,15,16,0
152,1980,30,19,0
153,1691,14,17,0
154,1761,22,7,1
155,1502,13,23,0
156,632,28,32,0
157,246,10,13,0
158,1781,16,16,0
159,1431,6,4,0
160,1474,12,15,0
161,664,28,23,0
162,1757,16,23,0
163,1904,7,10,0
164,581,14,9,0
165,1658,10,10,0
166,602,10,8,0
167,1806,12,15,0
168,1512,10,7,0
169,651,6,11,0
170,169,6,13,0
171,1822,10,4,0
172,1748,3,8,0
173,1543,11,9,0
174,1746,6,6,0
175,1337,10,13,0
176,1095,3,2,0
177,1659,6,8,0
178,1739,8,7,0
179,517,7,5,0
180,316,4,4,0
181,162,14,4,0
182,732,1,3,0
183,1618,14,9,0
184,1232,8,12,0
185,1233,8,12,0
186,1063,11,13,0
187,964,8,11,0
188,1325,11,9,0
189,993,11,16,0
190,1367,13,10,0
191,1746,13,10,0
192,719,12,7,0
193,1433,15,15,0
194,629,37,3,1
195,1673,5,4,0
196,1601,11,8,0
197,1375,13,17,0
198,1216,17,16,0
199,1591,27,26,0
200,1384,18,10,0
201,1812,3,6,0
202,1859,14,8,0
203,1255,10,8,0
204,1324,4,10,0
205,797,6,9,0
206,1297,10,9,0
207,127,10,14,0
208,1621,22,16,0
209,417,15,10,0
210,1822,1,7,0
211,818,11,7,0
212,633,3,12,0
213,378,18,16,0
214,1008,29,12,1
215,1170,5,9,0
216,1445,8,9,0
217,1554,11,23,0
218,129,8,15,0
219,739,5,5,0
220,1855,10,8,0
221,1263,10,10,0
222,825,14,6,0
223,85,39,11,1
224,1823,10,13,0
225,607,4,1,0
226,408,12,9,0
227,719,12,9,0
228,363,11,13,0
229,1371,11,12,0
230,1711,20,20,0
231,1412,6,9,0
232,208,14,16,0
233,121,12,10,0
234,336,5,10,0
235,1436,11,8,0
236,312,5,4,0
237,1204,4,7,0
238,978,28,26,0
239,1108,3,6,0
240,1198,15,10,0
241,180,32,22,1
242,1314,10,23,0
243,1662,12,18,0
244,1789,6,6,0
245,330,51,11,1
246,859,10,14,0
247,179,13,13,0
248,1284,11,8,0
249,1022,5,7,0
250,663,7,4,0
251,767,6,4,0
252,995,12,19,0
253,250,10,11,0
254,1247,10,8,0
255,435,26,24,0
256,79,10,10,0
257,834,3,10,0
258,1407,13,16,0
259,768,10,9,0
260,1442,6,7,0
261,1762,6,0,0
262,987,7,10,0
263,857,13,12,0
264,1684,7,4,0
265,733,7,6,0
266,694,13,9,0
267,473,12,7,0
268,770,8,11,0
269,1357,16,14,0
270,1568,6,6,0
271,369,8,3,0
272,47,5,8,0
273,1786,14,9,0
274,1119,6,9,0
275,63,3,7,0
276,840,2,7,0
277,230,3,1,0
278,1144,4,5,0
279,1305,16,17,0
280,1682,10,9,0
281,934,25,37,0
282,859,5,5,0
283,65,4,8,0
284,1791,8,7,0
285,1226,8,9,0
286,1860,10,13,0
287,1974,5,3,0
288,959,6,8,0
289,755,5,8,0
290,1580,2,6,0
291,1083,15,17,0
292,968,2,4,0
293,1169,5,11,0
294,189,4,4,0
295,1401,4,9,0
296,537,14,14,0
297,599,6,11,0
298,1549,4,5,0
299,1616,8,7,0
300,1949,8,11,0
301,292,13,15,0
302,1666,3,8,0
303,105,8,11,0
304,1997,16,20,0
305,144,9,13,0
306,245,10,5,0
307,621,7,6,0
308,1755,2,4,0
309,200,11,8,0
310,442,11,14,0
311,462,12,8,0
312,527,8,13,0
313,374,3,8,0
314,268,17,19,0
315,1626,9,17,0
316,1147,14,17,0
317,1356,5,9,0
318,510,8,8,0
319,1475,16,13,0
320,668,5,13,0
321,762,1,10,0
322,1972,7,8,0
323,1419,15,16,0
324,1576,16,15,0
325,302,6,14,0
326,1474,6,10,0
327,384,4,3,0
328,1722,9,10,0
329,40,27,14,0
330,720,6,3,0
331,1865,10,19,0
332,668,9,13,0
333,1614,8,6,0
334,147,13,12,0
335,522,4,2,0
336,1031,6,7,0
337,1656,8,4,0
338,612,10,6,0
339,1368,5,10,0
340,1479,6,9,0
341,366,8,9,0
342,1031,11,9,0
343,1697,4,8,0
344,1034,6,2,0
345,1079,11,13,0
346,1098,5,8,0
347,1403,8,16,0
348,60,6,5,0
349,227,29,24,0
350,885,7,4,0
351,308,3,2,0
352,1270,9,7,0
353,1105,4,3,0
354,1256,22,4,1
355,1972,4,4,0
356,1877,8,5,0
357,184,2,5,0
358,1030,6,13,0
359,374,7,2,0
360,1877,4,6,0
361,202,3,6,0
362,617,9,9,0
363,1600,7,11,0
364,1518,7,9,0
365,1667,5,8,0
366,1490,7,8,0
367,69,7,6,0
368,1567,15,12,0
369,1177,16,16,0
370,1817,12,10,0
371,504,15,10,0
372,1394,1,4,0
373,630,10,14,0
374,279,3,4,0
375,1044,19,20,0
376,1430,3,4,0
377,649,15,16,0
378,390,3,3,0
379,818,1,3,0
380,1176,8,4,0
381,790,7,10,0
382,1257,12,14,0
383,1779,9,8,0
384,246,5,11,0
385,1641,5,5,0
386,1148,4,9,0
387,1829,2,2,0
388,1391,6,2,0
389,1191,15,10,0
390,1493,6,11,0
391,1614,2,6,0
392,652,20,15,0
393,1412,4,4,0
394,1109,9,7,0
395,837,11,7,0
396,1617,1,3,0
397,1606,8,13,0
398,369,4,10,0
399,1249,13,14,0
400,501,6,6,0
401,964,6,11,0
402,891,14,10,0
403,529,11,7,0
404,1144,4,5,0
405,1459,5,8,0
406,449,5,15,0
407,1752,11,13,0
408,1842,4,11,0
409,269,2,8,0
410,766,14,13,0
411,765,12,10,0
412,1886,8,6,0
413,1326,4,8,0
414,1428,2,5,0
415,1404,8,10,0
416,1709,7,5,0
417,251,5,5,0
418,726,10,13,0
419,854,8,16,0
420,124,3,6,0
421,541,6,5,0
422,993,9,21,0
423,640,7,12,0
424,1450,11,12,0
425,826,4,9,0
426,1113,4,5,0
427,1021,5,6,0
428,572,34,6,1
429,668,8,13,0
430,349,7,7,0
431,621,14,14,0
432,296,2,11,0
433,125,5,9,0
434,150,7,4,0
435,337,9,4,0
436,465,6,7,0
437,484,7,4,0
438,955,8,14,0
439,1538,9,13,0
440,749,10,9,0
441,1887,18,20,0
442,974,9,5,0
443,283,15,16,0
444,1411,10,15,0
445,981,6,5,0
446,1345,7,9,0
447,1496,5,13,0
448,705,3,5,0
449,1391,9,7,0
450,1248,17,17,0
451,643,6,10,0
452,1164,6,4,0
453,1802,6,7,0
454,1772,3,8,0
455,564,10,7,0
456,235,4,6,0
457,1126,7,11,0
458,168,4,8,0
459,1296,22,7,1
460,654,13,16,0
461,1886,7,8,0
462,868,3,10,0
463,1333,7,8,0
464,354,9,5,0
465,194,5,10,0
466,644,6,4,0
467,589,6,10,0
468,639,3,10,0
469,301,2,5,0
470,320,3,6,0
471,1046,8,6,0
472,1913,4,3,0
473,538,4,5,0
474,1599,3,2,0
475,1892,7,16,0
476,313,4,7,0
477,205,7,3,0
478,86,8,7,0
479,1947,9,6,0
480,743,4,3,0
481,962,15,12,0
482,1492,21,8,0
483,1273,9,12,0
484,261,9,15,0
485,1361,3,4,0
486,1127,21,10,0
487,1156,15,8,0
488,735,11,9,0
489,1140,2,5,0
490,1512,10,7,0
491,1962,8,2,0
492,1409,1,7,0
493,719,9,14,0
494,1515,4,5,0
495,970,13,11,0
496,746,12,7,0
497,1075,4,8,0
498,392,10,8,0
499,202,6,12,0
500,1445,5,1,0
501,921,4,4,0
502,669,4,2,0
503,1704,3,3,0
504,349,6,7,0
505,167,6,7,0
506,1256,5,11,0
507,1365,6,8,0
508,1171,2,9,0
509,318,10,7,0
510,34,13,9,0
511,312,2,3,0
512,850,8,8,0
513,726,5,5,0
514,1033,3,5,0
515,1568,9,2,0
516,148,12,5,0
517,1892,6,10,0
518,1117,2,2,0
519,1408,4,3,0
520,1764,4,2,0
521,705,20,24,0
522,1025,4,7,0
523,572,2,8,0
524,1845,10,16,0
525,1423,8,7,0
526,1003,45,3,1
527,1170,5,7,0
528,1731,6,6,0
529,206,4,10,0
530,249,10,7,0
531,1632,6,11,0
532,1876,5,9,0
533,1461,9,7,0
